version,dR,dz,K,d0,iso,reweight,zeta,depth,trees,lr,reg_lambda,mcw,n_feat,n_train,n_holdout,auc_train,auc_holdout,path,gap
1.0,1.0,30.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9158314477178968,0.899698999323144,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz30.0_K10_d0on_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.016132448394752807
1.0,1.0,10.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9118254283011648,0.8995029936564631,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz10.0_K10_d0on_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.012322434644701619
1.0,1.0,20.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9119513058406908,0.8988584781691122,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz20.0_K10_d0on_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.0130928276715786
1.1,1.1,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.91620812850949,0.8986516398883939,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.1_dz15.0_K10_d0off_iso_rw_v1.1_nMAX/summary.csv,0.017556488621096045
1.0,1.0,35.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9106669216131109,0.8986437032870059,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz35.0_K10_d0on_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.012023218326104979
1.0,1.0,30.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9105509194805578,0.8985050381936834,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz30.0_K10_d0on_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.012045881286874338
1.0,0.9,15.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9141640838047865,0.8984267623591943,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr0.9_dz15.0_K10_d0on_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.015737321445592256
1.1,1.1,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9164035114553745,0.8981750812071527,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_dr1.1_dz15.0_K10_d0muOFF_iso_rw_v1.1_nMAX/summary.csv,0.01822843024822174
1.0,0.9,10.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9133230861198318,0.8976797986352308,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr0.9_dz10.0_K10_d0on_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.015643287484600976
1.0,0.9,10.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9091238362759662,0.8969073146943606,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr0.9_dz10.0_K10_d0on_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.012216521581605577
1.0,0.9,15.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9093032447179304,0.8966747701267296,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr0.9_dz15.0_K10_d0on_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.012628474591200867
1.0,0.9,30.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9122504026696789,0.896512586261816,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr0.9_dz30.0_K10_d0on_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.01573781640786298
1.0,1.0,25.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9129399557051012,0.8962245904470361,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz25.0_K10_d0off_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.016715365258065162
1.0,0.9,20.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9136251690323672,0.896149549368027,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr0.9_dz20.0_K10_d0on_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.017475619664340192
1.0,1.0,15.0,10,none,True,True,False,3,200,0.1,1.0,1.0,84,465378,114607,0.9131321205972565,0.8958945213413995,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz15.0_K10_d0off_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.017237599255856995
1.0,0.9,20.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9085497701612992,0.8958801581682831,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr0.9_dz20.0_K10_d0on_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.012669611993016083
1.0,0.9,35.0,10,both,True,True,False,3,200,0.1,1.0,1.0,105,465378,114607,0.9118367842625994,0.8958743756850357,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr0.9_dz35.0_K10_d0on_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.015962408577563703
1.0,0.9,25.0,10,both,True,True,False,2,400,0.1,1.0,1.0,105,465378,114607,0.9086298548182927,0.8955641731307545,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr0.9_dz25.0_K10_d0on_iso_rw_v1.0_nMAX/cfg00_d2_n400_lr0.1_L1.0_mcw1.0/summary.csv,0.013065681687538189
1.0,1.0,15.0,10,muon-off,True,True,False,3,200,0.1,1.0,1.0,104,465378,114607,0.9131666151068987,0.8955543639017471,/nfs/ihfs/home_metis/suzunyan/projects/muonisolation/output/muonbdt_scan_dr1.0_dz15.0_K10_d0muOFF_iso_rw_v1.0_nMAX/cfg01_d3_n200_lr0.1_L1.0_mcw1.0/summary.csv,0.01761225120515153
